"CATID","ellip","z_spec","Mstar","g_i","M_r","CUBEID","CUBEIDPUB","SIGMA_3_ARCSECOND","SIGMA_3_ARCSECOND_ERR","TYPE","SFR_3_ARCSECOND","SFR_3_ARCSECOND_ERR","WARNSKER","WARNZ"
"41180","0.3111999929","0.0844400004","10.470000267","1.2599999905","-20.8400001526","41180_blue_red_11_Y18SAR3_P002_12T129_2018_05_07-2018_05_16","41180_A","152.5892944336","2.6134026051","0.0","0.0012778603","None","0","0"
"41274","0.1289000064","0.0727600008","10.5799999237","1.25","-21.1299991608","41274_blue_red_7_Y16SAR4_P001_12T093_2017_04_19-2017_05_01","41274_A","124.0163497925","1.542950511","0.5","0.0762836784","0.0478679314","0","0"
"47152","0.1846999973","0.0825999975","11.0600004196","1.3099999428","-22.2000007629","47152_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","47152_A","208.0050201416","2.1847343445","0.0","0.0095706349","None","0","0"
"47254","0.0529000014","0.0547300018","11.029999733","1.2699999809","-22.1200008392","47254_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","47254_A","212.9304504395","1.4670100212","0.0","0.0062963166","None","0","0"
"48470","0.1086999997","0.0795599967","11.0100002289","1.2300000191","-22.2299995422","48470_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","48470_A","164.7997436523","1.9254045486","0.0","0.1523746848","0.0427842252","0","0"
"48548","0.2888999879","0.0828099996","11.0500001907","1.3200000525","-22.1900005341","48548_blue_red_7_Y15SAR4_P003_15T114_2016_03_03-2016_03_13","48548_A","185.2520446777","2.5501689911","0.5","0.0584190004","0.0298900716","0","0"
"54202","0.1295000017","0.0471699983","10.5799999237","1.2400000095","-21.0200004578","54202_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","54202_A","187.2788543701","1.6493376493","0.0","0.0002930643","None","0","0"
"54270","0.0659999996","0.0834399983","11.279999733","1.3600000143","-22.7099990845","54270_blue_red_7_Y14SAR3_P006_12T057_2016_04_04-2016_04_12","54270_A","281.4381713867","2.1477851868","0.0","0.2670952082","0.1057605147","0","0"
"54500","0.236499995","0.0807299986","10.9300003052","1.3200000525","-21.8700008392","54500_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","54500_A","209.9949188232","2.0872297287","0.5","0.0068967389","None","0","0"
"54918","0.1072999984","0.0831800029","11.1800003052","1.4099999666","-22.3299999237","54918_blue_red_7_Y17SAR3_P004_12T105_2018_02_12-2018_02_19","54918_A","None","None","0.0","0.2829164267","0.0499492735","0","0"
"54921","0.1677999943","0.093659997","10.9899997711","1.3300000429","-22.0599994659","54921_blue_red_8_Y14SAR3_P008_12T059_2016_05_02-2016_05_10","54921_A","166.6125793457","2.4534487724","0.0","1.0185408592","0.0610584803","0","0"
"55143","0.0491000004","0.0204499997","11.0699996948","1.2699999809","-22.0400009155","55143_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","55143_A","246.5486297607","1.1239300966","0.0","0.0095739961","None","0","0"
"56181","0.1230999976","0.050590001","10.3199996948","1.0499999523","-20.7399997711","56181_blue_red_7_Y15SAR3_P002_12T085_2015_04_14-2015_04_22","56181_A","88.3285827637","1.8113151789","0.0","0.8874012232","0.0478036962","0","0"
"62239","0.0822999999","0.0531499982","10.8900003433","1.1900000572","-21.9099998474","62239_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","62239_A","146.329864502","1.0969266891","0.0","0.0334223136","0.01531542","0","0"
"62244","0.235799998","0.0532899983","10.1499996185","1.2400000095","-19.9599990845","62244_blue_red_7_Y17SAR2_P004_15T121_2018_03_12-2018_03_22","62244_A","164.7606964111","1.9204103947","0.0","0.0007347382","None","0","0"
"65408","0.1225999966","0.0434099995","10.9200000763","1.1799999475","-21.9500007629","65408_blue_red_7_Y17SAR3_P004_15T127_2018_04_09-2018_04_19","65408_A","185.6373748779","1.3337199688","0.0","0.0048635807","None","0","0"
"65410","0.3003000021","0.0435900018","10.0500001907","1.0399999619","-20.0699996948","65410_blue_red_7_Y13SAR1_P003_15T008_2013_03_05-2013_03_17","65410_A","86.8371887207","1.6434954405","0.5","0.1983610392","0.0064980648","0","0"
"70022","0.0518999994","0.0598899983","10.9399995804","1.3400000334","-21.7900009155","70022_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","70022_A","224.8329467773","1.8574763536","0.5","0.0063694492","None","0","0"
"70114","0.0733999982","0.0038000001","9.029999733","0.6700000167","-18.1100006104","70114_blue_red_7_Y15SAR3_P004_12T086_2016_02_08-2016_02_14","70114_A","35.740978241","2.6636192799","0.0","0.0250870455","0.0002139194","0","0"
"70640","0.2344000041","0.0797699988","10.9099998474","1.3400000334","-21.7800006866","70640_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","70640_A","217.0052642822","2.3884403706","0.5","0.0481468625","0.0198946334","0","0"
"70670","0.134100005","0.0819600001","11.2100000381","1.3899999857","-22.4699993134","70670_blue_red_7_Y15SAR3_P004_12T089_2016_02_08-2016_02_14","70670_A","252.9180603027","2.0851790905","0.0","0.0457069464","0.0276897904","0","0"
"70802","0.1826000065","0.0609400012","11.1000003815","1.2699999809","-22.3299999237","70802_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19","70802_A","262.6245727539","1.6883332729","0.0","None","None","0","0"
"70808","0.0164999999","0.04067","10.0799999237","1.1699999571","-19.8600006104","70808_blue_red_7_Y17SAR3_P002_12T103_2018_02_12-2018_02_19","70808_A","94.7341384888","1.3579618931","0.0","0.0010402433","None","0","0"
"71178","0.248999998","0.0746499971","11.0","1.2699999809","-22.1100006104","71178_blue_red_8_Y14SAR4_P010_12T072_2016_04_04-2016_04_12","71178_A","188.2035217285","2.0766894817","0.5","0.0269600749","None","0","0"
