CATID,ellip,z_spec,Mstar,M_r,r_e,VSIGMA_RE,VSIGMA_RE_ERR,SIGMA_RE,SIGMA_RE_ERR,TYPE
220112,0.0417999998,0.0196800008,10.1199998856,-20.0699996948,4.5700001717,0.2470986396,0.0056437226,79.852355957,0.8813069463,0.0
220218,0.0406999998,0.0477200001,10.5,-20.9799995422,5.2600002289,0.1630717367,0.0109559912,122.5845031738,1.8023433685,0.0
220437,0.0507000014,0.0783800036,11.0900001526,-22.2600002289,4.9800000191,0.1791507751,0.0063326103,205.0075073242,2.0989634991,0.0
220465,0.293599993,0.0844599977,11.3100004196,-22.8700008392,5.8499999046,0.2149792463,0.0049746674,240.8326568604,1.8840312958,0.5
227617,0.1588000059,0.0542600006,10.5200004578,-20.9400005341,4.9699997902,0.2834570408,0.0206731036,120.0613327026,3.4975457191,0.0
228708,0.1030000001,0.0939899981,10.9899997711,-22.1100006104,3.1400001049,0.0940634683,0.0084085576,154.7885742188,2.0774142742,0.0
229164,0.1238999963,0.0495200008,10.5699996948,-21.1900005341,4.0799999237,0.243062824,0.0058372742,104.5451660156,0.9804571867,0.5
230455,0.3454999924,0.0775600001,11.0500001907,-22.0699996948,7.0999999046,0.1669487357,0.0099635515,205.0623626709,3.4321165085,0.5
230556,0.0671999976,0.0776000023,10.970000267,-21.8799991608,5.3000001907,0.138677299,0.0122926049,171.7343444824,3.4475588799,0.0
230683,0.0298999995,0.0205400009,9.9399995804,-19.5200004578,4.5700001717,0.0897675827,0.0080142105,64.0247955322,0.9119397402,0.0
230786,0.2025000006,0.0191900004,9.9300003052,-19.2700004578,2.3699998856,0.1281743795,0.0064580231,125.2005462646,1.0426608324,0.0
230787,0.1908999979,0.0208299998,9.3400001526,-18.1900005341,2.3299999237,0.1551675498,0.0234753471,64.4897994995,1.8492394686,0.0
230789,0.3084000051,0.0210999995,9.5200004578,-18.3799991608,1.1100000143,,,87.3446044922,1.4431887865,0.5
230797,0.0549000017,0.0196599998,8.9399995804,-17.0300006866,0.9499999881,,,51.0030899048,3.0124316216,0.0
238214,0.2028000057,0.0530400015,10.1300001144,-19.9500007629,1.1100000143,,,80.2725296021,1.8089330196,0.5
238325,0.3373999894,0.0540600009,10.1800003052,-20.2299995422,3.6800000668,0.5640158653,0.0173546914,97.518989563,1.5672694445,0.5
238453,0.1013000011,0.0545799993,10.6899995804,-21.3199996948,3.2899999619,0.1597768515,0.0089868167,148.139755249,1.6974111795,0.5
238458,0.0786999986,0.0775299966,11.279999733,-22.7800006866,6.6900000572,0.0943355933,0.0046272101,242.3471679688,2.0568370819,0.0
238500,0.1543000042,0.0540999994,10.1800003052,-20.1200008392,1.6200000048,0.1094838157,0.0115420846,112.9801254272,1.4800851345,0.0
238922,0.1972000003,0.0261799991,10.7399997711,-21.5200004578,6.3299999237,0.3376570046,0.0029938619,185.2448425293,1.3810325861,0.0
239292,0.4923000038,0.0482299998,10.0,-19.8899993896,1.9199999571,0.5044507384,0.0190936346,97.776222229,1.9842147827,0.5
250183,0.1163000017,0.0588399991,10.2299995422,-20.2399997711,0.8500000238,,,155.241027832,3.5771024227,0.5
250243,0.1680999994,0.0544699989,10.0699996948,-19.9300003052,2.3099999428,0.2215926647,0.0174501818,84.6705551147,1.5611205101,0.0
252057,0.2146999985,0.0327100009,9.9099998474,-19.5400009155,2.4800000191,0.1816796064,0.0092607848,91.9889755249,0.9913923144,0.5
271538,0.2246000022,0.0763399974,10.970000267,-22.0100002289,3.3800001144,0.0489175133,0.0071733659,183.9808807373,1.6784745455,0.5
272190,0.1251000017,0.0809400007,10.9600000381,-22.1299991608,3.7000000477,0.1244805604,0.0066854288,187.20652771,1.7855162621,0.0
272488,0.1975000054,0.048489999,10.3299999237,-20.5,2.0099999905,0.2453648001,0.0077375346,130.536529541,1.1725159883,0.5
272820,0.0754000023,0.0831499994,10.8199996948,-21.6100006104,3.1099998951,0.1363847703,0.0084867952,167.4475250244,1.685513854,0.0
272831,0.1528999954,0.0835200027,11.1700000763,-22.4899997711,3.75,0.0778324902,0.0069315964,254.3803405762,2.4078330994,0.5
272833,0.2728999853,0.082510002,10.9200000763,-21.8500003815,4.4400000572,0.1677941531,0.0115634305,161.5993804932,2.6333582401,0.5
272990,0.2542000115,0.0411799997,10.5900001526,-21.2999992371,4.1599998474,0.2847441733,0.005312196,137.3477172852,1.0435926914,0.5
273845,0.0313999988,0.0787200034,11.2399997711,-22.6200008392,5.7300000191,0.0827910379,0.0059861853,289.1235961914,2.5589177608,0.0
278840,0.2466000021,0.0417100005,10.4099998474,-20.9699993134,3.1500000954,0.343705982,0.0081173712,101.7220153809,1.2674709558,0.5
279878,0.057500001,0.0873399973,11.2600002289,-22.7000007629,4.3899998665,0.0985737145,0.0062823873,232.7110443115,1.8499159813,0.0
279905,0.340200007,0.0176800005,10.4300003052,-20.6100006104,6.1500000954,0.4923076332,0.0031335372,170.5892181396,1.2037539482,0.5
279910,0.3039999902,0.0868500024,11.0100002289,-22.2199993134,2.8800001144,0.0679989681,0.0057776445,219.487701416,1.7947191,0.5
288803,0.0878000036,0.0485199988,10.6599998474,-21.2700004578,4.1999998093,0.1079674661,0.0057282541,176.933883667,1.5295032263,0.0
